epix_address,x42_address,original_balance,final_balance,deduction_amount,deduction_percentage,signature,raw_json
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,XEewPc1gz1LcPdmxY5qtk4QYeRsmuD6iLh,11063671878,272982.51877545,-27287188205667,17.01%,IPfz7tzCrntnv+kV3zyzmSNYLL53h5uDtZ7gUJ5ztLrGLvmxoW5hbTusAMng1rivYgpqLP9vhltfCtFG86DKX6s=,"{""x42_address"":""XEewPc1gz1LcPdmxY5qtk4QYeRsmuD6iLh"",""epix_address"":""epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c"",""snapshot_balance"":11063671878}"
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,XVtrRs7aTvVwZG6ZmBJASbhadg6bGHLjD8,5060765636,272982.51877545,-27293191111909,17.01%,H1Br2Ib2oFP0VgyDKenlKWJR6xUt4NBXI8Gv4ko5vHJDZ/8hRQysKCOasuJ8pN0zLFjMFjUCF3n7Qo9K3WOhrw0=,"{""x42_address"":""XVtrRs7aTvVwZG6ZmBJASbhadg6bGHLjD8"",""epix_address"":""epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c"",""snapshot_balance"":5060765636}"
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,XQCT35oxS3yZpXrGPm8k8c7bDRQS2TNbsV,1928515614,272982.51877545,-27296323361931,17.01%,Hy2RSj5Z0exomgiFchl9XJJUl+8JjTIcqnvXkGaEa2BXYvgklM5MvpctGWkuSjDDxC5Jj1o+kfP8QNrdjtflnBE=,"{""x42_address"":""XQCT35oxS3yZpXrGPm8k8c7bDRQS2TNbsV"",""epix_address"":""epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c"",""snapshot_balance"":1928515614}"
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,XDkBzYWCpiYLHtzdUjCYJKSacCBsGnawnQ,7807445299,272982.51877545,-27290444432246,17.01%,H/fDC97eunfIx+OhLkqkJVwYmlqCDS1UL/k1aK6Ktf9oNJjGsxVn1E8CspqVaP9VH2t/ISMTzMErlSagEUvLAN4=,"{""x42_address"":""XDkBzYWCpiYLHtzdUjCYJKSacCBsGnawnQ"",""epix_address"":""epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c"",""snapshot_balance"":7807445299}"
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,XHhKpX35eqob2deDdi7dACQWypVQqTGgsm,5756250000,272982.51877545,-27292495627545,17.01%,HzFdF9V2DUDKWSCYyFcD5c4hmY07Vazg1vE25jzfFwU8WesFdd5cSNs2Rl+iRE4DZB1xW7k+HJK2bgw3LvnGEIw=,"{""x42_address"":""XHhKpX35eqob2deDdi7dACQWypVQqTGgsm"",""epix_address"":""epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c"",""snapshot_balance"":5756250000}"
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,XTBqjkWrpbjjfP5hGaALFbv5jpbnKnsrpp,2333203119,272982.51877545,-27295918674426,17.01%,IOnkgOqf5PFd/LMZFR8US/Ivbfp3KaP29OYOTMOZxaEONkhBHCux/WSv0jA4O5bdyF8lmqFslxnbxHdlQL7Rdh4=,"{""x42_address"":""XTBqjkWrpbjjfP5hGaALFbv5jpbnKnsrpp"",""epix_address"":""epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c"",""snapshot_balance"":2333203119}"
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,XSU7kAnCEUQksg661fbyzgrCAv4UY9E5NK,6092578122,272982.51877545,-27292159299423,17.01%,IIpPD+EQa1tvZ0yBy7ELnW9e0Q1EtY2jOHfE1Esp0uIuXG1Sg2xDv4ZYMlSConnkzZ7JRgPh3FgFb+9V7cXb3cg=,"{""x42_address"":""XSU7kAnCEUQksg661fbyzgrCAv4UY9E5NK"",""epix_address"":""epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c"",""snapshot_balance"":6092578122}"
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,XG1cRdNg92UJSEkJne4tyL8DTfk6YVbZGJ,7807617171,272982.51877545,-27290444260374,17.01%,H2UxHQMKJ/KBbBTQA1NxZgZlcSEkYAej3DOhI+IDV4k6bvPrwvCSEU5eGQAh7KwUW3kBZ+jtavM2GQevDEEgi34=,"{""x42_address"":""XG1cRdNg92UJSEkJne4tyL8DTfk6YVbZGJ"",""epix_address"":""epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c"",""snapshot_balance"":7807617171}"
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,XWV2bs2bC5wxsyfBXnzV1raDCXYeeLFEDt,4923828114,272982.51877545,-27293328049431,17.01%,IN2BkqlESp+2iE42i/FdphNHDPJyVX4am/4R0CRmthMLADbV5CfxEJBs8RRMz/Gpfnvo1Dj9AINpPWRBjMzseiU=,"{""x42_address"":""XWV2bs2bC5wxsyfBXnzV1raDCXYeeLFEDt"",""epix_address"":""epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c"",""snapshot_balance"":4923828114}"
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,XWcnEjpa8WD4Hc4Mf6hA7MbZzV2F2nwKz8,5666015636,272982.51877545,-27292585861909,17.01%,H9vv3iqx1MFzB1TjngtwounHU2PoC54Slmd4MUHajCEJVB2unuuF2AYGNUBoQeNTxZggJVkIOkio3R2yk/3ehc8=,"{""x42_address"":""XWcnEjpa8WD4Hc4Mf6hA7MbZzV2F2nwKz8"",""epix_address"":""epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c"",""snapshot_balance"":5666015636}"
