epix_address,balance
epix13lm5a997u6akcmketvaddpxd6fgu5cqdxgghjh,21749.90781234
epix1rlz6x6ajjdjf8zucks6w33az4pdjygpukyplnn,3656.86332889
epix1fr2x3gw4xur7mcvtgxf9q6fym97ycn7ths9def,21810.58706986
epix1sfa4w0mquyxpu309y6yep5yny2p40t7w4yqu9c,17467.63223161
epix14q4cawxeac4dcycmxkwrk078gnx0f5a4zgyejj,1820.10312401
epix1p7n3qvcztwmxevzyglrmt0qmq4yj797stsdktw,23198.03943420
epix14z6mxf67g9kgjtuqghhh8qu9cpslcjv58jwp7y,17454.21476901
epix1f9kj99ntp3a2uy2f4u4ns3jceuk8xgrwg9m03q,21276.69320034
epix1x5xtnqedyuk70c5tnh05ucrracmw2zg4wjzkpy,20211.72869299
epix134q4ylx7m4vd77fz75eq8xwrdqffzwtm4n3sp7,3544.24014694
epix1435ql43chh69s7drm9usgsu7zl4un7cwwvc5m9,21399.09168032
epix17cyav8mg58x0pyssr2tj43wd599fyxau5czrjw,18719.57925143
epix1s5ufw0rtkcjr5n5c6xtv8lgf42fxzwxcz6q079,14764.68962921
epix1rvgyw8gjdd5cs2eulqe8zpw7m9slrz8l0zy5nl,19359.60538171
epix1glep40kew0vfc7dlgw9r49wf7dvvr5a3qn8tlm,21955.10622963
epix15nwxq4lmzefu40adqclm5ywtz2mjrv5d9fc226,16037.64679443
epix1lgn2qkwuq08wx5vu8vjghkg5a4lyltwx6gtux5,23231.98732952
epix1hy0frh7hevmq95zxl87ph46cweveyst8x7uy6f,18044.89588604
epix1pgws545ghm6g4nfp0pvpccjjdjee3u8z8w03h5,12334.77635781
epix1pzhntlp9anqrn60jkkfl8qtwa6ngk6ryls5l2s,17409.64330129
epix1lw4rp3djsg3rcnq69vmje7a0578hzu92cvxm6e,21362.20135927
epix1uxs90trt4aeqye6dzt53979g9jm9cy58xspz5g,17422.69715760
epix1q4nhfvg2dhs995wzutyjlq943j0aja2c04llkh,18859.57239632
epix1pfnsa6h3f828r8llgtvyj2smed5ckf0lq6v87f,22367.55716365
epix1fexhw5xwfyu460arzfmd0mg0cll9gnh9t859ru,18569.27992593
epix1ngzna3lkyuyjluqhufzud7kx489u0d25u7ax3q,3856.27514739
epix1tv9x7xz4ss9fu589gw8jaj6kpwkk68sf9dmpu0,5743.70854650
epix1rhwehpd38rftnuc2wuxtwknvl9un0m9dp3cu9y,20840.00970712
epix1s3n3072kjey8qx0dpe4m4lu4ckdh253pm5urgk,19577.24563985
epix1und7qet67h3nzyrhy5wva65m7wtvv5cdf6tdze,18031.17931296
epix12dlffdthum8v6nayk9qzyua4v5k70n56rrr8pl,23452.89414796
epix1ndz3f6elwsj9jl5cfe3hkvfptcfy99l5h22th3,1837.47354047
